customer_id,age,country,acquisition_channel,cac,initial_plan,tenure_months,avg_logins_3m,avg_sessions_3m,avg_session_duration_3m,avg_features_used_3m,engagement_score_latest,payment_failures,payment_success_rate,total_support_tickets,churned,ltv
C000001,32,UK,Organic,10.5,Basic,14,23.333333333333332,30.0,24.563333333333333,6.0,0.719,0,1.0,2,1,139.86
C000002,55,Germany,Affiliate,49.63,Standard,2,15.0,17.5,13.045,3.0,0.379,0,1.0,0,1,39.98
C000003,56,US,Organic,11.87,Basic,7,20.666666666666668,27.0,12.063333333333333,4.0,0.838,0,1.0,0,1,69.93
C000004,44,UK,Paid Search,100.12,Standard,1,4.0,14.0,4.38,3.0,0.25,0,1.0,0,0,19.99
C000005,28,Australia,Email,31.13,Premium,1,17.0,23.0,11.21,4.0,0.391,0,1.0,0,1,39.99
C000006,39,US,Social Media,43.89,Basic,4,12.333333333333334,17.333333333333332,13.623333333333335,2.0,0.388,0,1.0,0,1,39.96
C000007,56,Canada,Referral,23.87,Standard,22,24.666666666666668,38.666666666666664,24.05333333333333,6.666666666666667,0.719,0,1.0,3,1,439.78
C000008,42,US,Affiliate,38.38,Basic,23,19.666666666666668,20.333333333333332,20.776666666666667,6.0,0.662,0,1.0,2,0,229.77
C000009,41,France,Social Media,71.47,Standard,1,8.0,12.0,7.93,0.0,0.246,0,1.0,0,0,19.99
C000010,36,US,Affiliate,22.78,Standard,7,24.333333333333332,34.666666666666664,13.296666666666667,7.333333333333333,0.666,1,0.8571428571428571,0,1,119.94
C000011,41,UK,Organic,17.6,Basic,1,7.0,10.0,9.61,3.0,0.265,0,1.0,0,1,9.99
C000012,61,Australia,Social Media,40.48,Basic,1,10.0,21.0,21.32,2.0,0.577,0,1.0,0,1,9.99
C000013,33,UK,Email,45.4,Standard,1,12.0,11.0,15.05,4.0,0.394,0,1.0,1,1,19.99
C000014,62,France,Referral,30.8,Premium,17,27.333333333333332,32.0,24.850000000000005,8.666666666666666,0.781,0,1.0,2,1,679.83
C000015,21,UK,Affiliate,32.97,Standard,34,27.333333333333332,40.333333333333336,28.149999999999995,4.666666666666667,0.797,0,1.0,7,0,679.66
C000016,54,Australia,Social Media,50.06,Basic,10,10.0,14.666666666666666,8.020000000000001,2.6666666666666665,0.289,0,1.0,0,1,99.9
C000017,59,Germany,Paid Search,95.88,Basic,26,20.333333333333332,32.0,24.813333333333333,6.0,0.887,0,1.0,3,1,379.74
C000018,52,Canada,Social Media,36.98,Standard,6,12.666666666666666,15.666666666666666,15.213333333333333,3.0,0.384,0,1.0,1,1,119.94
C000019,32,UK,Referral,55.91,Basic,9,15.333333333333334,31.0,15.183333333333332,4.0,0.681,0,1.0,1,1,89.91
C000020,25,UK,Referral,23.64,Basic,12,15.333333333333334,27.0,21.66333333333333,4.0,0.578,0,1.0,0,1,119.88
C000021,22,Germany,Paid Search,105.45,Basic,1,10.0,18.0,9.04,6.0,0.556,0,1.0,0,1,9.99
C000022,53,US,Email,59.84,Standard,1,6.0,4.0,3.36,2.0,0.194,0,1.0,0,1,19.99
C000023,35,Australia,Affiliate,24.58,Premium,1,7.0,12.0,13.68,1.0,0.395,0,1.0,0,1,39.99
C000024,18,Australia,Organic,15.87,Basic,7,15.666666666666666,18.0,10.613333333333333,2.0,0.46,0,1.0,0,1,69.93
C000025,24,Australia,Email,50.48,Standard,1,7.0,14.0,6.28,3.0,0.274,0,1.0,0,1,19.99
C000026,41,UK,Affiliate,40.31,Basic,5,19.0,16.0,16.786666666666665,6.0,0.453,0,1.0,1,1,49.95
C000027,49,US,Email,56.74,Standard,3,17.333333333333332,39.666666666666664,23.753333333333334,11.0,0.981,0,1.0,1,1,59.97
C000028,37,UK,Social Media,73.94,Standard,16,21.333333333333332,26.0,25.743333333333336,9.0,1.0,2,0.875,0,1,279.86
C000029,23,Australia,Paid Search,111.46,Premium,6,23.0,27.666666666666668,18.09,9.333333333333334,0.837,1,0.8333333333333334,0,1,199.95
C000030,26,UK,Organic,29.56,Standard,28,23.0,38.666666666666664,19.9,5.0,1.0,2,0.9285714285714286,3,0,519.74
C000031,51,France,Referral,57.87,Basic,3,19.0,18.333333333333332,13.423333333333332,2.0,0.446,0,1.0,0,1,29.97
C000032,62,UK,Paid Search,115.02,Standard,2,8.5,19.0,14.805,4.0,0.484,0,1.0,0,1,39.98
C000033,46,France,Referral,59.81,Standard,4,12.666666666666666,18.0,17.64666666666667,4.0,0.465,0,1.0,1,1,79.96
C000034,19,France,Organic,14.96,Basic,2,19.5,14.0,13.76,3.5,0.49,1,0.5,0,1,9.99
C000035,63,Australia,Paid Search,91.19,Basic,18,18.333333333333332,16.333333333333332,9.903333333333334,4.666666666666667,0.487,0,1.0,3,0,289.82
C000036,39,US,Paid Search,54.72,Basic,29,26.666666666666668,24.333333333333332,19.603333333333335,8.0,0.869,0,1.0,4,0,549.71
C000037,52,UK,Paid Search,69.49,Basic,6,4.666666666666667,5.333333333333333,8.6,2.6666666666666665,0.315,0,1.0,0,0,59.94
C000038,44,UK,Email,38.91,Standard,3,9.0,11.0,8.979999999999999,3.0,0.306,0,1.0,0,1,59.97
C000039,44,Germany,Organic,23.18,Basic,18,18.666666666666668,17.0,13.4,3.0,0.488,0,1.0,0,1,179.82
C000040,21,Germany,Affiliate,46.14,Standard,7,14.666666666666666,23.333333333333332,18.41,6.0,0.534,0,1.0,1,0,139.93
C000041,46,UK,Organic,14.97,Basic,3,4.666666666666667,8.666666666666666,4.213333333333334,1.3333333333333333,0.178,0,1.0,0,0,49.97
C000042,22,Germany,Paid Search,69.5,Basic,2,10.5,9.5,8.245000000000001,2.0,0.25,0,1.0,0,1,29.98
C000043,18,US,Organic,11.01,Premium,16,11.0,13.0,15.0,3.6666666666666665,0.406,0,1.0,2,0,639.84
C000044,43,US,Paid Search,78.45,Basic,12,16.333333333333332,29.0,11.886666666666668,7.0,0.47,1,0.9166666666666666,3,1,109.89
C000045,47,Canada,Referral,20.09,Basic,4,14.333333333333334,12.666666666666666,11.910000000000002,1.3333333333333333,0.397,1,0.75,0,1,29.97
C000046,53,Australia,Affiliate,58.29,Premium,2,8.0,8.5,7.25,1.0,0.284,1,0.5,0,1,39.99
C000047,21,France,Paid Search,63.29,Basic,13,22.666666666666668,22.333333333333332,15.566666666666668,7.333333333333333,0.802,1,0.9230769230769231,2,1,119.88
C000048,55,Germany,Organic,24.96,Basic,1,13.0,19.0,5.81,4.0,0.351,0,1.0,0,1,9.99
C000049,23,UK,Email,26.3,Premium,20,15.666666666666666,20.0,16.386666666666667,5.0,0.521,1,0.95,5,0,759.81
C000050,43,US,Email,22.72,Premium,2,9.5,18.5,10.725,5.0,0.442,0,1.0,0,0,79.98
C000051,23,Germany,Paid Search,90.52,Basic,5,11.666666666666666,13.666666666666666,6.906666666666666,3.6666666666666665,0.42,0,1.0,0,0,49.95
C000052,34,UK,Email,42.61,Basic,2,17.5,31.5,13.24,8.5,0.922,1,0.5,0,1,9.99
C000053,26,Australia,Affiliate,32.57,Basic,5,26.0,32.666666666666664,18.846666666666668,8.0,0.919,0,1.0,1,1,49.95
C000054,22,US,Social Media,52.86,Premium,3,6.666666666666667,8.666666666666666,7.170000000000001,1.6666666666666667,0.311,0,1.0,0,0,119.97
C000055,22,France,Email,59.94,Premium,10,14.666666666666666,28.666666666666668,12.683333333333335,5.0,0.808,0,1.0,2,1,399.9
C000056,22,UK,Email,30.61,Premium,10,16.666666666666668,19.333333333333332,15.60666666666667,5.666666666666667,0.536,0,1.0,3,1,399.9
C000057,63,Canada,Social Media,37.89,Standard,26,28.0,50.666666666666664,20.62,13.0,0.944,0,1.0,3,0,519.74
C000058,53,Canada,Affiliate,41.16,Standard,2,10.0,12.5,7.98,3.5,0.426,1,0.5,0,1,19.99
C000059,25,US,Organic,28.78,Basic,19,12.666666666666666,20.0,19.46,5.0,0.588,0,1.0,1,1,359.81
C000060,63,Canada,Paid Search,69.06,Standard,2,12.5,18.0,14.32,3.0,0.444,0,1.0,1,1,39.98
C000061,49,Canada,Affiliate,45.37,Basic,16,30.0,27.666666666666668,10.88,7.333333333333333,0.889,1,0.9375,2,1,279.85
C000062,20,US,Organic,22.69,Standard,5,7.666666666666667,13.0,10.976666666666667,2.6666666666666665,0.295,0,1.0,1,1,99.95
C000063,65,Germany,Paid Search,94.6,Basic,21,29.666666666666668,34.666666666666664,20.263333333333332,9.333333333333334,0.707,0,1.0,7,1,209.79
C000064,22,Australia,Affiliate,37.11,Basic,2,9.0,20.5,13.905,3.5,0.414,0,1.0,0,1,19.98
C000065,53,UK,Email,21.44,Basic,3,15.333333333333334,25.333333333333332,15.12,4.666666666666667,0.618,0,1.0,0,1,49.97
C000066,20,Canada,Paid Search,52.93,Basic,8,13.0,20.666666666666668,11.076666666666668,3.3333333333333335,0.389,0,1.0,2,1,79.92
C000067,53,Germany,Affiliate,29.98,Basic,9,12.0,16.666666666666668,9.363333333333333,3.6666666666666665,0.411,0,1.0,0,1,89.91
