customer_id,month,month_number,engagement_score,logins,sessions,avg_session_duration,features_used,support_tickets,plan,payment_success
C000001,2023-10,1,0.726,23,37,29.76,7,1,Basic,True
C000001,2023-11,2,0.906,19,38,37.45,11,0,Basic,True
C000001,2023-12,3,0.874,20,47,36.16,13,0,Basic,True
C000001,2024-01,4,0.695,19,25,11.79,10,0,Basic,True
C000001,2024-02,5,0.83,28,24,35.42,7,0,Basic,True
C000001,2024-03,6,0.676,25,33,18.15,2,0,Basic,True
C000001,2024-04,7,0.846,24,35,9.52,7,0,Basic,True
C000001,2024-05,8,0.941,30,37,41.22,13,0,Basic,True
C000001,2024-06,9,0.76,31,42,13.89,3,0,Basic,True
C000001,2024-07,10,0.85,21,33,37.19,4,0,Basic,True
C000001,2024-08,11,0.853,30,17,29.9,12,0,Basic,True
C000001,2024-09,12,0.666,16,19,10.04,8,1,Basic,True
C000001,2024-10,13,0.909,37,43,32.46,5,0,Basic,True
C000001,2024-11,14,0.719,17,28,31.19,5,0,Basic,True
C000002,2022-04,1,0.409,15,20,10.8,2,0,Standard,True
C000002,2022-05,2,0.379,15,15,15.29,4,0,Standard,True
C000003,2022-02,1,0.873,32,41,14.74,6,0,Basic,True
C000003,2022-03,2,0.726,11,35,32.68,3,0,Basic,True
C000003,2022-04,3,0.72,20,15,30.78,8,0,Basic,True
C000003,2022-05,4,0.649,11,14,16.05,7,0,Basic,True
C000003,2022-06,5,0.721,16,36,14.05,2,0,Basic,True
C000003,2022-07,6,0.808,33,29,13.61,7,0,Basic,True
C000003,2022-08,7,0.838,13,16,8.53,3,0,Basic,True
C000004,2023-07,1,0.25,4,14,4.38,3,0,Standard,True
C000005,2023-04,1,0.391,17,23,11.21,4,0,Premium,True
C000006,2023-03,1,0.426,6,11,11.88,4,0,Basic,True
C000006,2023-04,2,0.374,7,14,11.55,1,0,Basic,True
C000006,2023-05,3,0.371,14,16,15.02,2,0,Basic,True
C000006,2023-06,4,0.388,16,22,14.3,3,0,Basic,True
C000007,2022-04,1,0.74,20,22,27.7,5,0,Standard,True
C000007,2022-05,2,0.57,23,30,23.24,4,0,Standard,True
C000007,2022-06,3,0.659,22,17,17.11,6,1,Standard,True
C000007,2022-07,4,0.601,10,19,12.05,3,0,Standard,True
C000007,2022-08,5,0.751,18,42,18.43,9,0,Standard,True
C000007,2022-09,6,0.635,23,25,13.12,4,0,Standard,True
C000007,2022-10,7,0.688,23,37,22.77,2,0,Standard,True
C000007,2022-11,8,0.813,36,40,16.08,2,0,Standard,True
C000007,2022-12,9,0.571,13,25,13.18,6,0,Standard,True
C000007,2022-12,10,0.808,29,27,23.49,12,0,Standard,True
C000007,2023-01,11,0.577,14,20,18.72,6,0,Standard,True
C000007,2023-03,12,0.792,13,16,19.67,11,0,Standard,True
C000007,2023-03,13,0.823,37,39,20.36,7,0,Standard,True
C000007,2023-04,14,0.796,32,40,25.55,4,0,Standard,True
C000007,2023-05,15,0.741,21,26,15.49,2,1,Standard,True
C000007,2023-06,16,0.609,18,16,22.07,9,0,Standard,True
C000007,2023-07,17,0.613,26,22,6.89,8,0,Standard,True
C000007,2023-08,18,0.742,32,37,12.57,10,0,Standard,True
C000007,2023-09,19,0.737,20,33,17.54,6,0,Standard,True
C000007,2023-10,20,0.684,27,35,18.78,8,0,Standard,True
C000007,2023-11,21,0.789,27,40,25.0,6,0,Standard,True
C000007,2023-12,22,0.719,20,41,28.38,6,1,Standard,True
C000008,2022-02,1,0.598,22,33,22.81,2,1,Basic,True
C000008,2022-03,2,0.736,15,20,26.98,9,0,Basic,True
C000008,2022-04,3,0.799,27,44,22.68,3,1,Basic,True
C000008,2022-05,4,0.627,21,21,28.12,5,0,Basic,True
C000008,2022-06,5,0.548,15,25,12.66,2,0,Basic,True
C000008,2022-07,6,0.614,15,30,15.53,3,0,Basic,True
C000008,2022-08,7,0.557,8,30,10.84,7,0,Basic,True
