customer_id,signup_date,acquisition_channel,cac,initial_plan,age,country,churned,ltv
C000001,2023-10-17,Organic,10.5,Basic,32,UK,1,139.86
C000002,2022-04-15,Affiliate,49.63,Standard,55,Germany,1,39.98
C000003,2022-02-02,Organic,11.87,Basic,56,US,1,69.93
C000004,2023-07-29,Paid Search,100.12,Standard,44,UK,0,19.99
C000005,2023-04-05,Email,31.13,Premium,28,Australia,1,39.99
C000006,2023-03-09,Social Media,43.89,Basic,39,US,1,39.96
C000007,2022-04-05,Referral,23.87,Standard,56,Canada,1,439.78
C000008,2022-02-14,Affiliate,38.38,Basic,42,US,0,229.77
C000009,2023-07-20,Social Media,71.47,Standard,41,France,0,19.99
C000010,2022-07-16,Affiliate,22.78,Standard,36,US,1,119.94
C000011,2022-08-27,Organic,17.6,Basic,41,UK,1,9.99
C000012,2023-01-15,Social Media,40.48,Basic,61,Australia,1,9.99
C000013,2022-03-15,Email,45.4,Standard,33,UK,1,19.99
C000014,2023-04-19,Referral,30.8,Premium,62,France,1,679.83
C000015,2022-08-13,Affiliate,32.97,Standard,21,UK,0,679.66
C000016,2022-02-02,Social Media,50.06,Basic,54,Australia,1,99.9
C000017,2022-11-19,Paid Search,95.88,Basic,59,Germany,1,379.74
C000018,2022-05-27,Social Media,36.98,Standard,52,Canada,1,119.94
C000019,2023-08-22,Referral,55.91,Basic,32,UK,1,89.91
C000020,2023-06-06,Referral,23.64,Basic,25,UK,1,119.88
C000021,2023-10-05,Paid Search,105.45,Basic,22,Germany,1,9.99
C000022,2023-01-26,Email,59.84,Standard,53,US,1,19.99
C000023,2023-11-28,Affiliate,24.58,Premium,35,Australia,1,39.99
C000024,2022-12-15,Organic,15.87,Basic,18,Australia,1,69.93
C000025,2022-09-27,Email,50.48,Standard,24,Australia,1,19.99
C000026,2022-11-02,Affiliate,40.31,Basic,41,UK,1,49.95
C000027,2023-07-07,Email,56.74,Standard,49,US,1,59.97
C000028,2022-04-25,Social Media,73.94,Standard,37,UK,1,279.86
C000029,2022-03-01,Paid Search,111.46,Premium,23,Australia,1,199.95
C000030,2023-05-13,Organic,29.56,Standard,26,UK,0,519.74
C000031,2023-11-07,Referral,57.87,Basic,51,France,1,29.97
C000032,2023-03-10,Paid Search,115.02,Standard,62,UK,1,39.98
C000033,2022-11-16,Referral,59.81,Standard,46,France,1,79.96
C000034,2023-04-08,Organic,14.96,Basic,19,France,1,9.99
C000035,2023-07-22,Paid Search,91.19,Basic,63,Australia,0,289.82
C000036,2022-03-02,Paid Search,54.72,Basic,39,US,0,549.71
C000037,2023-06-11,Paid Search,69.49,Basic,52,UK,0,59.94
C000038,2023-08-08,Email,38.91,Standard,44,UK,1,59.97
C000039,2022-04-07,Organic,23.18,Basic,44,Germany,1,179.82
C000040,2022-02-25,Affiliate,46.14,Standard,21,Germany,0,139.93
C000041,2022-12-14,Organic,14.97,Basic,46,UK,0,49.97
C000042,2023-03-09,Paid Search,69.5,Basic,22,Germany,1,29.98
C000043,2023-07-18,Organic,11.01,Premium,18,US,0,639.84
C000044,2022-08-31,Paid Search,78.45,Basic,43,US,1,109.89
C000045,2022-06-18,Referral,20.09,Basic,47,Canada,1,29.97
C000046,2023-03-10,Affiliate,58.29,Premium,53,Australia,1,39.99
C000047,2023-05-14,Paid Search,63.29,Basic,21,France,1,119.88
C000048,2023-07-10,Organic,24.96,Basic,55,Germany,1,9.99
C000049,2023-05-30,Email,26.3,Premium,23,UK,0,759.81
C000050,2022-03-12,Email,22.72,Premium,43,US,0,79.98
C000051,2023-08-07,Paid Search,90.52,Basic,23,Germany,0,49.95
C000052,2023-11-05,Email,42.61,Basic,34,UK,1,9.99
C000053,2023-11-17,Affiliate,32.57,Basic,26,Australia,1,49.95
C000054,2023-10-23,Social Media,52.86,Premium,22,US,0,119.97
C000055,2023-04-15,Email,59.94,Premium,22,France,1,399.9
C000056,2022-08-07,Email,30.61,Premium,22,UK,1,399.9
C000057,2023-01-14,Social Media,37.89,Standard,63,Canada,0,519.74
C000058,2023-09-19,Affiliate,41.16,Standard,53,Canada,1,19.99
C000059,2023-11-11,Organic,28.78,Basic,25,US,1,359.81
C000060,2023-07-21,Paid Search,69.06,Standard,63,Canada,1,39.98
C000061,2022-07-28,Affiliate,45.37,Basic,49,Canada,1,279.85
C000062,2022-02-22,Organic,22.69,Standard,20,US,1,99.95
C000063,2022-12-08,Paid Search,94.6,Basic,65,Germany,1,209.79
C000064,2023-07-19,Affiliate,37.11,Basic,22,Australia,1,19.98
C000065,2022-06-02,Email,21.44,Basic,53,UK,1,49.97
C000066,2023-03-17,Paid Search,52.93,Basic,20,Canada,1,79.92
C000067,2022-08-04,Affiliate,29.98,Basic,53,Germany,1,89.91
C000068,2023-09-28,Affiliate,26.18,Premium,28,UK,1,399.9
C000069,2023-02-27,Organic,13.59,Premium,44,Australia,1,299.92
C000070,2022-09-12,Social Media,37.96,Standard,42,US,0,519.74
C000071,2023-04-27,Paid Search,63.97,Premium,40,Canada,1,39.99
C000072,2022-08-22,Paid Search,51.66,Basic,39,Canada,1,39.96
C000073,2022-03-13,Social Media,47.56,Standard,61,France,0,519.74
C000074,2022-12-06,Organic,12.31,Premium,29,France,1,39.99
C000075,2022-09-29,Organic,12.17,Basic,64,Canada,1,69.96
C000076,2023-03-23,Email,59.37,Basic,54,UK,1,9.99
C000077,2022-09-18,Organic,24.18,Basic,52,Australia,1,19.98
C000078,2023-11-18,Paid Search,75.5,Basic,60,Canada,1,149.9
C000079,2023-10-01,Social Media,63.17,Basic,37,France,1,79.92
C000080,2022-11-13,Affiliate,36.34,Basic,36,France,1,69.93
C000081,2022-05-11,Paid Search,79.43,Premium,61,Australia,1,239.94
C000082,2022-06-28,Email,42.76,Basic,18,Canada,1,19.98
C000083,2022-10-21,Paid Search,80.09,Standard,59,Canada,1,119.94
C000084,2023-04-22,Referral,37.69,Basic,48,Australia,0,49.95
C000085,2022-06-23,Affiliate,23.39,Standard,58,France,0,39.98
C000086,2022-12-10,Organic,26.37,Standard,61,Canada,1,59.97
C000087,2022-08-19,Paid Search,60.31,Basic,48,France,1,9.99
C000088,2022-03-16,Referral,36.58,Standard,30,Australia,1,19.99
C000089,2023-01-29,Referral,35.99,Basic,62,US,1,19.98
C000090,2022-04-20,Referral,28.75,Standard,62,France,0,499.75
C000091,2023-04-21,Organic,21.15,Premium,25,Germany,1,79.98
C000092,2022-05-17,Referral,46.7,Premium,56,Canada,1,39.99
C000093,2023-03-30,Email,52.6,Premium,45,France,0,79.98
C000094,2023-04-02,Paid Search,102.06,Basic,34,UK,1,39.96
C000095,2023-10-15,Social Media,68.29,Standard,58,UK,0,139.93
C000096,2022-10-09,Referral,23.1,Basic,35,Canada,0,349.81
C000097,2022-11-24,Email,23.22,Basic,42,Australia,0,289.8
C000098,2022-06-06,Affiliate,28.56,Basic,39,France,1,79.92
C000099,2023-04-23,Referral,22.49,Standard,42,France,1,539.73
C000100,2022-01-21,Email,35.22,Basic,40,Canada,0,119.88
C000101,2023-02-04,Referral,41.53,Standard,56,UK,1,39.98
C000102,2023-05-15,Paid Search,69.11,Basic,42,Canada,1,39.96
C000103,2023-11-16,Affiliate,51.93,Standard,47,UK,1,0.0
C000104,2023-09-30,Email,21.08,Basic,54,Australia,0,39.97
C000105,2022-01-28,Organic,22.85,Basic,47,UK,0,359.76
C000106,2022-02-21,Social Media,48.96,Basic,38,Canada,0,359.74
C000107,2023-01-24,Social Media,67.6,Standard,34,US,0,19.99
C000108,2023-04-27,Organic,24.98,Basic,40,UK,1,19.98
C000109,2023-10-28,Organic,25.62,Standard,19,UK,1,119.94
C000110,2022-07-24,Organic,22.43,Basic,48,Australia,1,9.99
C000111,2022-04-28,Email,57.91,Basic,34,Canada,0,259.74
C000112,2022-06-21,Email,44.29,Standard,25,UK,0,139.93
C000113,2022-11-15,Organic,21.57,Premium,54,Australia,0,119.97
C000114,2023-01-20,Referral,57.66,Basic,55,Australia,1,89.91
C000115,2023-10-05,Paid Search,57.13,Standard,61,France,1,59.97
C000116,2022-05-04,Email,51.31,Basic,45,Australia,1,9.99
C000117,2023-01-15,Organic,20.12,Basic,44,Germany,0,39.96
C000118,2022-04-19,Referral,58.43,Standard,47,Australia,1,79.96
C000119,2022-06-06,Referral,27.05,Standard,59,Canada,1,79.96
C000120,2023-09-23,Email,50.99,Basic,64,France,1,9.99
C000121,2022-10-02,Social Media,72.59,Standard,23,Canada,0,259.87
C000122,2023-04-07,Paid Search,102.53,Standard,60,Germany,1,119.94
C000123,2022-12-11,Organic,19.89,Basic,49,UK,1,199.86
C000124,2022-12-30,Social Media,47.02,Premium,62,Canada,1,119.97
C000125,2023-07-24,Organic,20.33,Basic,33,Australia,1,9.99
C000126,2023-02-21,Referral,42.21,Basic,48,Australia,1,19.98
C000127,2023-05-18,Referral,51.72,Basic,32,Germany,1,19.98
C000128,2022-09-07,Social Media,63.2,Basic,53,France,1,99.9
C000129,2022-12-19,Referral,59.87,Standard,40,Australia,1,99.95
C000130,2023-04-10,Social Media,45.33,Basic,64,UK,0,299.7
