event_id,customer_id,event_date,event_type,plan,amount,payment_success,month_number
1,C000001,2023-10-17,payment,Basic,9.99,True,1
2,C000001,2023-11-16,payment,Basic,9.99,True,2
3,C000001,2023-12-16,payment,Basic,9.99,True,3
4,C000001,2024-01-15,payment,Basic,9.99,True,4
5,C000001,2024-02-14,payment,Basic,9.99,True,5
6,C000001,2024-03-15,payment,Basic,9.99,True,6
7,C000001,2024-04-14,payment,Basic,9.99,True,7
8,C000001,2024-05-14,payment,Basic,9.99,True,8
9,C000001,2024-06-13,payment,Basic,9.99,True,9
10,C000001,2024-07-13,payment,Basic,9.99,True,10
11,C000001,2024-08-12,payment,Basic,9.99,True,11
12,C000001,2024-09-11,payment,Basic,9.99,True,12
13,C000001,2024-10-11,payment,Basic,9.99,True,13
14,C000001,2024-11-10,payment,Basic,9.99,True,14
15,C000001,2024-11-10,churn,Basic,0.0,False,14
16,C000002,2022-04-15,payment,Standard,19.99,True,1
17,C000002,2022-05-15,payment,Standard,19.99,True,2
18,C000002,2022-05-15,churn,Standard,0.0,False,2
19,C000003,2022-02-02,payment,Basic,9.99,True,1
20,C000003,2022-03-04,payment,Basic,9.99,True,2
21,C000003,2022-04-03,payment,Basic,9.99,True,3
22,C000003,2022-05-03,payment,Basic,9.99,True,4
23,C000003,2022-06-02,payment,Basic,9.99,True,5
24,C000003,2022-07-02,payment,Basic,9.99,True,6
25,C000003,2022-08-01,payment,Basic,9.99,True,7
26,C000003,2022-08-01,churn,Basic,0.0,False,7
27,C000004,2023-07-29,payment,Standard,19.99,True,1
28,C000005,2023-04-05,payment,Premium,39.99,True,1
29,C000005,2023-04-05,churn,Premium,0.0,False,1
30,C000006,2023-03-09,payment,Basic,9.99,True,1
31,C000006,2023-04-08,payment,Basic,9.99,True,2
32,C000006,2023-05-08,payment,Basic,9.99,True,3
33,C000006,2023-06-07,payment,Basic,9.99,True,4
34,C000006,2023-06-07,churn,Basic,0.0,False,4
35,C000007,2022-04-05,payment,Standard,19.99,True,1
36,C000007,2022-05-05,payment,Standard,19.99,True,2
37,C000007,2022-06-04,payment,Standard,19.99,True,3
38,C000007,2022-07-04,payment,Standard,19.99,True,4
39,C000007,2022-08-03,payment,Standard,19.99,True,5
40,C000007,2022-09-02,payment,Standard,19.99,True,6
41,C000007,2022-10-02,payment,Standard,19.99,True,7
42,C000007,2022-11-01,payment,Standard,19.99,True,8
43,C000007,2022-12-01,payment,Standard,19.99,True,9
44,C000007,2022-12-31,payment,Standard,19.99,True,10
45,C000007,2023-01-30,payment,Standard,19.99,True,11
46,C000007,2023-03-01,payment,Standard,19.99,True,12
47,C000007,2023-03-31,payment,Standard,19.99,True,13
48,C000007,2023-04-30,payment,Standard,19.99,True,14
49,C000007,2023-05-30,payment,Standard,19.99,True,15
50,C000007,2023-06-29,payment,Standard,19.99,True,16
51,C000007,2023-07-29,payment,Standard,19.99,True,17
52,C000007,2023-08-28,payment,Standard,19.99,True,18
53,C000007,2023-09-27,payment,Standard,19.99,True,19
54,C000007,2023-10-27,payment,Standard,19.99,True,20
55,C000007,2023-11-26,payment,Standard,19.99,True,21
56,C000007,2023-12-26,payment,Standard,19.99,True,22
57,C000007,2023-12-26,churn,Standard,0.0,False,22
58,C000008,2022-02-14,payment,Basic,9.99,True,1
59,C000008,2022-03-16,payment,Basic,9.99,True,2
60,C000008,2022-04-15,payment,Basic,9.99,True,3
61,C000008,2022-05-15,payment,Basic,9.99,True,4
